Date,price_24k,price_22k,price_18k
2012-10-17,2977.1,2727.03,2232.83
2012-10-18,2963.16,2714.26,2222.37
2012-10-19,2958.23,2709.74,2218.67
2012-10-22,2986.03,2735.2,2239.52
2012-10-23,2936.63,2689.95,2202.47
2012-10-24,2936.89,2690.19,2202.67
2012-10-25,2957.57,2709.14,2218.18
2012-10-26,2945.5,2698.08,2209.12
2012-10-31,2979.5,2729.22,2234.62
2012-11-01,2969.19,2719.78,2226.89
2012-11-02,2887.79,2645.22,2165.85
2012-11-05,2910.15,2665.7,2182.61
2012-11-06,3008.32,2755.62,2256.24
2012-11-07,2997.38,2745.6,2248.03
2012-11-08,3006.52,2753.97,2254.89
2012-11-09,3023.96,2769.94,2267.97
2012-11-12,3036.75,2781.66,2277.56
2012-11-13,3042.12,2786.58,2281.59
2012-11-14,3051.47,2795.15,2288.6
2012-11-15,3018.76,2765.18,2264.07
2012-11-16,3014.73,2761.5,2261.05
2012-11-19,3075.02,2816.72,2306.27
2012-11-20,3050.33,2794.1,2287.75
2012-11-21,3060.87,2803.76,2295.65
2012-11-23,3108.52,2847.4,2331.39
2012-11-26,3118.54,2856.58,2338.91
2012-11-27,3116.34,2854.57,2337.25
2012-11-28,3059.99,2802.95,2294.99
2012-11-29,3093.23,2833.4,2319.92
2012-11-30,3016.46,2763.07,2262.34
2012-12-03,2999.73,2747.75,2249.8
2012-12-04,2983.55,2732.93,2237.66
2012-12-05,2974.86,2724.97,2231.15
2012-12-06,2981.37,2730.93,2236.03
2012-12-07,2965.67,2716.55,2224.25
2012-12-10,2992.62,2741.24,2244.47
2012-12-11,2992.47,2741.11,2244.36
2012-12-12,2994.5,2742.96,2245.87
2012-12-13,2961.13,2712.4,2220.85
2012-12-14,2969.12,2719.71,2226.84
2012-12-17,2970.13,2720.63,2227.59
2012-12-18,2944.0,2696.7,2208.0
2012-12-19,2938.71,2691.86,2204.03
2012-12-20,2884.76,2642.44,2163.57
2012-12-21,2925.66,2679.91,2194.25
2012-12-24,2935.98,2689.36,2201.98
2012-12-26,2935.43,2688.86,2201.58
2012-12-27,2931.3,2685.07,2198.47
2012-12-28,2923.26,2677.7,2192.44
2012-12-31,2948.23,2700.58,2211.17
2013-01-02,2967.22,2717.98,2225.42
2013-01-03,2924.5,2678.84,2193.38
2013-01-04,2887.72,2645.15,2165.79
2013-01-07,2903.37,2659.49,2177.53
2013-01-08,2949.66,2701.89,2212.24
2013-01-09,2925.53,2679.78,2194.15
2013-01-10,2952.36,2704.36,2214.27
2013-01-11,2911.77,2667.18,2183.83
2013-01-14,2944.02,2696.72,2208.01
2013-01-15,2949.3,2701.56,2211.97
2013-01-16,2954.56,2706.38,2215.92
2013-01-17,2972.16,2722.5,2229.12
2013-01-18,2947.04,2699.49,2210.28
2013-01-22,2926.31,2680.5,2194.73
2013-01-23,2917.24,2672.19,2187.93
2013-01-24,2880.66,2638.69,2160.5
2013-01-25,2858.59,2618.47,2143.94
2013-01-28,2857.8,2617.74,2143.35
2013-01-29,2878.29,2636.52,2158.72
2013-01-30,2903.47,2659.58,2177.6
2013-01-31,2845.82,2606.77,2134.37
2013-02-01,2856.07,2616.16,2142.05
2013-02-04,2863.47,2622.94,2147.6
2013-02-05,2864.97,2624.31,2148.73
2013-02-06,2865.95,2625.21,2149.47
2013-02-07,2854.56,2614.78,2140.92
2013-02-08,2850.52,2611.08,2137.89
2013-02-11,2839.67,2601.14,2129.75
2013-02-12,2860.15,2619.89,2145.11
2013-02-13,2846.52,2607.42,2134.89
2013-02-14,2828.5,2590.91,2121.38
2013-02-15,2788.86,2554.59,2091.64
2013-02-19,2793.25,2558.62,2094.94
2013-02-20,2747.2,2516.44,2060.4
2013-02-21,2743.42,2512.98,2057.57
2013-02-22,2753.56,2522.26,2065.17
2013-02-25,2767.79,2535.29,2075.84
2013-02-26,2797.1,2562.14,2097.82
2013-02-27,2774.0,2540.99,2080.5
2013-02-28,2731.9,2502.42,2048.93
2013-03-01,2747.38,2516.6,2060.54
2013-03-04,2774.77,2541.69,2081.08
2013-03-05,2777.16,2543.88,2082.87
2013-03-06,2780.2,2546.66,2085.15
2013-03-07,2770.17,2537.48,2077.63
2013-03-08,2765.48,2533.18,2074.11
2013-03-11,2756.68,2525.12,2067.51
2013-03-12,2783.94,2550.09,2087.96
2013-03-13,2764.76,2532.52,2073.57
2013-03-14,2780.07,2546.54,2085.05
2013-03-15,2782.88,2549.11,2087.16
2013-03-18,2787.0,2552.89,2090.25
2013-03-19,2801.22,2565.92,2100.92
2013-03-20,2809.86,2573.83,2107.4
2013-03-21,2819.94,2583.07,2114.96
2013-03-22,2802.94,2567.5,2102.21
2013-03-25,2803.5,2568.01,2102.63
2013-03-26,2779.15,2545.7,2084.36
2013-03-27,2807.33,2571.52,2105.5
2013-03-28,2788.69,2554.44,2091.52
2013-04-01,2792.12,2557.58,2094.09
2013-04-02,2747.25,2516.48,2060.44
2013-04-03,2716.99,2488.77,2037.75
2013-04-04,2715.49,2487.39,2036.62
2013-04-05,2779.84,2546.33,2084.88
2013-04-08,2769.79,2537.13,2077.35
2013-04-09,2782.32,2548.61,2086.74
2013-04-10,2734.38,2504.7,2050.79
2013-04-11,2741.64,2511.34,2056.23
2013-04-12,2620.33,2400.22,1965.24
2013-04-15,2384.63,2184.32,1788.47
2013-04-16,2431.89,2227.61,1823.92
2013-04-17,2406.27,2204.14,1804.7
2013-04-18,2426.01,2222.23,1819.51
2013-04-19,2423.47,2219.9,1817.6
2013-04-22,2463.99,2257.02,1847.99
2013-04-23,2451.78,2245.83,1838.83
2013-04-24,2488.52,2279.48,1866.39
2013-04-25,2550.72,2336.46,1913.04
2013-04-26,2533.84,2321.0,1900.38
2013-04-29,2565.21,2349.73,1923.91
2013-04-30,2566.74,2351.13,1925.05
2013-05-01,2501.59,2291.45,1876.19
2013-05-02,2531.99,2319.31,1898.99
2013-05-03,2533.19,2320.4,1899.89
2013-05-06,2538.44,2325.21,1903.83
2013-05-07,2523.72,2311.73,1892.79
2013-05-08,2564.96,2349.5,1923.72
2013-05-09,2557.5,2342.67,1918.13
2013-05-10,2505.94,2295.44,1879.46
2013-05-13,2527.53,2315.21,1895.64
2013-05-14,2511.4,2300.45,1883.55
2013-05-15,2460.35,2253.68,1845.26
2013-05-16,2442.89,2237.69,1832.17
2013-05-17,2403.8,2201.88,1802.85
2013-05-20,2442.86,2237.66,1832.14
2013-05-21,2441.13,2236.08,1830.85
2013-05-22,2436.25,2231.61,1827.19
2013-05-23,2490.68,2281.47,1868.01
2013-05-24,2483.83,2275.19,1862.87
2013-05-28,2463.7,2256.75,1847.77
2013-05-29,2509.78,2298.96,1882.34
2013-05-30,2554.85,2340.24,1916.13
2013-05-31,2524.22,2312.18,1893.16
2013-06-03,2567.69,2352.0,1925.77
2013-06-04,2545.4,2331.59,1909.05
2013-06-05,2537.43,2324.28,1903.07
2013-06-06,2581.79,2364.92,1936.34
2013-06-07,2527.27,2314.98,1895.45
2013-06-10,2533.12,2320.34,1899.84
2013-06-11,2516.31,2304.94,1887.23
2013-06-12,2543.35,2329.71,1907.51
2013-06-13,2561.25,2346.11,1920.94
2013-06-14,2586.87,2369.57,1940.15
2013-06-17,2556.25,2341.52,1917.19
2013-06-18,2552.88,2338.44,1914.66
2013-06-19,2598.42,2380.15,1948.81
2013-06-20,2427.35,2223.45,1820.51
2013-06-21,2473.61,2265.83,1855.21
2013-06-24,2432.95,2228.59,1824.72
2013-06-25,2451.28,2245.37,1838.46
2013-06-26,2358.43,2160.32,1768.82
2013-06-27,2364.61,2165.99,1773.46
2013-06-28,2368.16,2169.23,1776.12
2013-07-01,2403.55,2201.65,1802.66
2013-07-02,2374.09,2174.67,1780.57
2013-07-03,2397.16,2195.8,1797.87
